location_name,Fruit,Sodium,Vegetables,Healthy_Food,Zone
Chad,26.561702691268508,2.8099090469405894,18.057626710801472,44.61932940206998,Danger Zone
Djibouti,29.970363225696353,3.31572860577969,80.25536679729363,110.22573002298998,Danger Zone
Eritrea,78.68807148749109,3.345053775465768,33.26463583831045,111.95270732580153,Danger Zone
Ethiopia,18.204589089281452,3.328363782440553,36.48141611054219,54.68600519982364,Danger Zone
Liberia,75.50496024442477,2.810567536188358,35.47919906350853,110.9841593079333,Danger Zone
Madagascar,77.66878456590803,3.3321323416115507,26.00037327241954,103.66915783832756,Danger Zone
Malawi,100.96262127055678,3.34136358100901,39.97444005093978,140.93706132149657,Danger Zone
Mali,72.62481329161034,2.809160456358429,47.28522084806798,119.91003413967832,Danger Zone
Mauritania,25.635121822479427,2.8092705132919256,38.3678512602533,64.00297308273272,Danger Zone
Mozambique,46.25862249604194,3.352293250749376,31.827483600000026,78.08610609604196,Danger Zone
Senegal,49.6552968307561,2.8064628663988795,79.64665664544856,129.30195347620466,Danger Zone
Sierra Leone,65.66176148804817,2.8086962848387307,60.25528370955271,125.91704519760088,Danger Zone
Somalia,37.802299172330514,3.3472033428620263,14.187865788957987,51.9901649612885,Danger Zone
Zambia,19.142137688817925,3.3348513866202,36.98684402870608,56.128981717524006,Danger Zone
Zimbabwe,23.15407057266158,3.0484017757761235,17.106642658470474,40.26071323113206,Danger Zone
