"location_name","yr_1990","yr_2021","abs_change","cagr"
"Sudan",0.480474501801272,0.518151221628347,0.0376767198270747,0.243822481720257
"Libya",0.480154450621558,0.517088661714782,0.0369342110932235,0.239339277071826
"Morocco",0.480179820805041,0.517086960488149,0.0369071396831078,0.239157791757605
"Egypt",2.12942438893157,1.94446761477249,-0.184956774159083,-0.292678869372209
"Guinea-Bissau",0.315967333023193,0.279580238463911,-0.0363870945592821,-0.393897990758441
"Mauritania",0.316212183951922,0.279764477244628,-0.0364477067072936,-0.394270254039131
"Mozambique",0.316042198920125,0.279586704430001,-0.0364554944901243,-0.394584906395701
"Burundi",0.315817016686412,0.279181099167215,-0.0366359175191969,-0.39695942011394
"Congo",0.316144599872853,0.279389980408188,-0.0367546194646645,-0.39788734931917
"Nigeria",0.316090883905315,0.27931025522776,-0.0367806286775541,-0.398258354507008
"Kenya",0.316197566813534,0.279377883942811,-0.0368196828707227,-0.398564715691141
"Equatorial Guinea",0.316265860439607,0.279415074429042,-0.0368507860105647,-0.398830910253511
"Burkina Faso",0.316489137099014,0.279609417970549,-0.0368797191284649,-0.398864432041535
"Cabo Verde",0.316319648064358,0.279431365430489,-0.0368882826338688,-0.399189969281344
"Sao Tome and Principe",0.316330951675469,0.27941354606794,-0.0369174056075291,-0.399509675339482
"Democratic Republic of the Congo",0.316375791357759,0.279425846062163,-0.036949945295596,-0.399823639509256
"Sierra Leone",0.316271700093414,0.279293028176201,-0.036978671917213,-0.400293917224881
"Angola",0.316229547879361,0.279159442376477,-0.0370701055028846,-0.40140276695626
"Senegal",0.316818148573449,0.279677315589412,-0.0371408329840364,-0.401422624410241
"Rwanda",0.316064867503706,0.279001971146072,-0.0370628963576337,-0.401542050753079
"Chad",0.316348827826013,0.279225995840283,-0.0371228319857302,-0.40184853343358
"Somalia",0.316281871870101,0.279132647006948,-0.037149224863153,-0.402242729377489
"Mali",0.316305152129143,0.279135600965309,-0.0371695511638337,-0.402445204226609
"Cameroon",0.316708016350938,0.279470969677155,-0.0372370466737833,-0.40267689081922
"Gambia",0.316520903309523,0.279277842960137,-0.0372430603493865,-0.402999142490879
"Eritrea",0.316058681978974,0.278860863082541,-0.0371978188964328,-0.403104505099694
"Djibouti",0.31663425640153,0.2793415869967,-0.0372926694048294,-0.403416285862701
"Benin",0.316447693848828,0.279166632902657,-0.0372810609461712,-0.403535564446145
"Niger",0.316577933208153,0.279274255115543,-0.0373036780926108,-0.403619238139341
"South Sudan",0.316549708757834,0.279230945139708,-0.0373187636181262,-0.403831068722793
"Ghana",0.316342426785419,0.279030462150453,-0.0373119646349658,-0.404034147005194
"Madagascar",0.31624959337003,0.278942123747088,-0.037307469622942,-0.404108487213661
"Comoros",0.316671042855527,0.279287524802274,-0.0373835180532526,-0.404411366356439
"Liberia",0.316534946387143,0.27916013849268,-0.0373748078944633,-0.404496025772949
"Zambia",0.316361471262802,0.278955056281234,-0.0374064149815684,-0.405095896134466
"Gabon",0.316521109025489,0.279026317043515,-0.0374947919819739,-0.405896041142606
"Ethiopia",0.316444103874478,0.278907398541978,-0.0375367053325003,-0.406483857446649
"Uganda",0.316765662193465,0.27916994848883,-0.0375957137046359,-0.406723963270084
"Central African Republic",0.316620519184966,0.279031850596344,-0.0375886685886228,-0.406841186049267
"Guinea",0.316647240052216,0.278900710517523,-0.0377465295346931,-0.408622549166548
"Malawi",0.31703942754896,0.279159517269652,-0.0378799102793075,-0.409619337268374
"Togo",0.316370258784612,0.278546967130302,-0.0378232916543103,-0.409888442961004
"Lesotho",0.229713047524283,0.196934127863913,-0.0327789196603697,-0.495419099148153
"Eswatini",0.229417782963433,0.196629399428301,-0.0327883835351313,-0.496261261472886
"Namibia",0.229784310122187,0.196791435945169,-0.0329928741770175,-0.498741230988409
"Botswana",0.229530748576605,0.196519430064977,-0.0330113185116282,-0.499636977000695
"Zimbabwe",0.229845449405045,0.196712525525869,-0.0331329238791757,-0.50088241899412
"Seychelles",0.314053351605539,0.264640980931736,-0.0494123706738026,-0.550699872814042
"Mauritius",0.314437237394905,0.264679657734939,-0.0497575796599656,-0.554149980343877
"Tunisia",0.333419449356157,0.268482942637925,-0.0649365067182321,-0.696318971713661
"Algeria",0.51850698219761,0.375284468840165,-0.143222513357446,-1.03738543186104
